Asset Name,Asset ID,Used Identifier,Reason Skipped
ABCIT03452L,26003336037,ABCIT03452L,Not found in Jira by Asset Name (update-only mode)
VTV05GKK,26002645141,VTV05GKK,Not found in Jira by Asset Name (update-only mode)
VTV02L0C,26002645140,VTV02L0C,Not found in Jira by Asset Name (update-only mode)
VTV05GU3,26002645139,VTV05GU3,Not found in Jira by Asset Name (update-only mode)
VTV05GU1,26002645138,VTV05GU1,Not found in Jira by Asset Name (update-only mode)
VTV05GKD,26002645137,VTV05GKD,Not found in Jira by Asset Name (update-only mode)
VTV05GTT,26002645136,VTV05GTT,Not found in Jira by Asset Name (update-only mode)
VTV02KXX,26002645135,VTV02KXX,Not found in Jira by Asset Name (update-only mode)
VTV05GU2,26002645134,VTV05GU2,Not found in Jira by Asset Name (update-only mode)
VTV05GUD,26002645133,VTV05GUD,Not found in Jira by Asset Name (update-only mode)
VTV02KXU,26002645132,VTV02KXU,Not found in Jira by Asset Name (update-only mode)
VTV02KZP,26002645131,VTV02KZP,Not found in Jira by Asset Name (update-only mode)
VTV02KXA,26002645130,VTV02KXA,Not found in Jira by Asset Name (update-only mode)
VTV05GTV,26002645129,VTV05GTV,Not found in Jira by Asset Name (update-only mode)
VTV02KXG,26002645128,VTV02KXG,Not found in Jira by Asset Name (update-only mode)
VTV05GUE,26002645127,VTV05GUE,Not found in Jira by Asset Name (update-only mode)
VTV02KZS,26002645126,VTV02KZS,Not found in Jira by Asset Name (update-only mode)
VTV05GJD,26002645125,VTV05GJD,Not found in Jira by Asset Name (update-only mode)
VTV02KZV,26002645124,VTV02KZV,Not found in Jira by Asset Name (update-only mode)
VTV05GUG,26002645123,VTV05GUG,Not found in Jira by Asset Name (update-only mode)
VTV05GUA,26002645122,VTV05GUA,Not found in Jira by Asset Name (update-only mode)
VTV05GUU,26002645121,VTV05GUU,Not found in Jira by Asset Name (update-only mode)
VTV0E9Y7,26002645120,VTV0E9Y7,Not found in Jira by Asset Name (update-only mode)
VTV02KZQ,26002645119,VTV02KZQ,Not found in Jira by Asset Name (update-only mode)
VTV05GUC,26002645118,VTV05GUC,Not found in Jira by Asset Name (update-only mode)
VTV02KXK,26002645117,VTV02KXK,Not found in Jira by Asset Name (update-only mode)
VTV05GTX,26002645116,VTV05GTX,Not found in Jira by Asset Name (update-only mode)
VTV0E9Y0,26002645115,VTV0E9Y0,Not found in Jira by Asset Name (update-only mode)
VTV05GUJ,26002645114,VTV05GUJ,Not found in Jira by Asset Name (update-only mode)
VTV02KXT,26002645113,VTV02KXT,Not found in Jira by Asset Name (update-only mode)
VTV02KZU,26002645112,VTV02KZU,Not found in Jira by Asset Name (update-only mode)
VTV02KZT,26002645111,VTV02KZT,Not found in Jira by Asset Name (update-only mode)
VTV02KZC,26002645110,VTV02KZC,Not found in Jira by Asset Name (update-only mode)
VTV02KZR,26002645109,VTV02KZR,Not found in Jira by Asset Name (update-only mode)
VTV02KZE,26002645108,VTV02KZE,Not found in Jira by Asset Name (update-only mode)
VTV05GKB,26002645107,VTV05GKB,Not found in Jira by Asset Name (update-only mode)
VTV028SJ,26002645106,VTV028SJ,Not found in Jira by Asset Name (update-only mode)
VTV02KXP,26002645105,VTV02KXP,Not found in Jira by Asset Name (update-only mode)
VTV05GYC,26002645104,VTV05GYC,Not found in Jira by Asset Name (update-only mode)
ABCSN02569L,26002508245,ABCSN02569L,Not found in Jira by Asset Name (update-only mode)
LAC  Monitor,26000958749,LAC  Monitor,Not found in Jira by Asset Name (update-only mode)
LAC  Monitor,26000958749,LAC  Monitor,Not found in Jira by Asset Name (update-only mode)
ABCFR02549L,26003688792,ABCFR02549L,Not found in Jira by Asset Name (update-only mode)
